date,product,sales,day,month,weekday,lag_1,lag_7,forecast
2024-01-08,Product_1,68,8,1,0,69.0,65.0,66.41768510635525
2024-01-09,Product_1,59,9,1,1,68.0,72.0,69.23742847955263
2024-01-10,Product_1,78,10,1,2,59.0,72.0,67.41003627102249
2024-01-11,Product_1,77,11,1,3,78.0,76.0,78.25892184356522
2024-01-12,Product_1,66,12,1,4,77.0,69.0,73.09242292836487
2024-01-13,Product_1,71,13,1,5,66.0,69.0,66.84727841799214
2024-01-14,Product_1,70,14,1,6,71.0,69.0,70.29541820676663
2024-01-15,Product_1,71,15,1,0,70.0,68.0,68.42509831274822
2024-01-16,Product_1,64,16,1,1,71.0,59.0,63.12004571845527
2024-01-17,Product_1,71,17,1,2,64.0,78.0,73.59502040279833
2024-01-18,Product_1,78,18,1,3,71.0,77.0,76.06342821982324
2024-01-19,Product_1,88,19,1,4,78.0,66.0,77.7809439255589
2024-01-20,Product_1,77,20,1,5,88.0,71.0,78.14717391309713
2024-01-21,Product_1,76,21,1,6,77.0,70.0,74.52362990529933
2024-01-22,Product_1,73,22,1,0,76.0,71.0,74.1301996746497
2024-01-23,Product_1,73,23,1,1,73.0,64.0,71.32205806566175
2024-01-24,Product_1,81,24,1,2,73.0,71.0,73.77299272525877
2024-01-25,Product_1,78,25,1,3,81.0,78.0,79.51805851032071
2024-01-26,Product_1,73,26,1,4,78.0,88.0,80.19838538089405
2024-01-27,Product_1,72,27,1,5,73.0,77.0,77.17876422505165
2024-01-28,Product_1,76,28,1,6,72.0,76.0,76.34010808345585
2024-01-29,Product_1,74,29,1,0,76.0,73.0,76.41558186102972
2024-01-30,Product_1,77,30,1,1,74.0,73.0,76.01610536874529
2024-01-31,Product_1,76,31,1,2,77.0,81.0,79.19667725740749
2024-02-01,Product_1,80,1,2,3,76.0,78.0,77.78778007240881
2024-02-02,Product_1,72,2,2,4,80.0,73.0,78.02307436501677
2024-02-03,Product_1,84,3,2,5,72.0,72.0,73.81765840078263
2024-02-04,Product_1,92,4,2,6,84.0,76.0,80.55174746441706
2024-02-05,Product_1,84,5,2,0,92.0,74.0,81.80397346899245
2024-02-06,Product_1,80,6,2,1,84.0,77.0,80.49190915729004
2024-02-07,Product_1,83,7,2,2,80.0,76.0,78.7440680825964
2024-02-08,Product_1,74,8,2,3,83.0,80.0,80.02939997968404
2024-02-09,Product_1,71,9,2,4,74.0,72.0,72.82189157062041
2024-02-10,Product_1,83,10,2,5,71.0,84.0,77.85995072886526
2024-02-11,Product_1,77,11,2,6,83.0,92.0,85.17384229268727
2024-02-12,Product_1,73,12,2,0,77.0,84.0,78.90472464017778
2024-02-13,Product_1,75,13,2,1,73.0,80.0,77.56739993384635
2024-02-14,Product_1,74,14,2,2,75.0,83.0,78.24695611904292
2024-02-15,Product_1,80,15,2,3,74.0,74.0,76.44232739856133
2024-02-16,Product_1,83,16,2,4,80.0,71.0,76.4068902569083
2024-02-17,Product_1,84,17,2,5,83.0,83.0,81.6240547629887
2024-02-18,Product_1,84,18,2,6,84.0,77.0,80.08188266185944
2024-02-19,Product_1,84,19,2,0,84.0,73.0,78.93343175034227
2024-02-20,Product_1,79,20,2,1,84.0,75.0,79.49578719540007
2024-02-21,Product_1,77,21,2,2,79.0,74.0,77.77473534248742
2024-02-22,Product_1,73,22,2,3,77.0,80.0,78.18403282530278
2024-02-23,Product_1,86,23,2,4,73.0,83.0,78.82332113194505
2024-02-24,Product_1,79,24,2,5,86.0,84.0,82.1830874963312
2024-02-25,Product_1,78,25,2,6,79.0,84.0,79.73316822099736
2024-02-26,Product_1,86,26,2,0,78.0,84.0,79.90549261241017
2024-02-27,Product_1,76,27,2,1,86.0,79.0,79.71207126996397
2024-02-28,Product_1,85,28,2,2,76.0,77.0,77.69694148121113
2024-02-29,Product_1,82,29,2,3,85.0,73.0,78.88634274760162
2024-03-01,Product_1,75,1,3,4,82.0,86.0,81.43126627541764
2024-03-02,Product_1,80,2,3,5,75.0,79.0,77.59470028898559
2024-03-03,Product_1,85,3,3,6,80.0,78.0,78.87125234404938
2024-03-04,Product_1,84,4,3,0,85.0,86.0,82.01314346419004
2024-03-05,Product_1,88,5,3,1,84.0,76.0,80.5869139491707
2024-03-06,Product_1,82,6,3,2,88.0,85.0,83.84039587800864
2024-03-07,Product_1,97,7,3,3,82.0,82.0,81.37667367919238
2024-03-08,Product_1,76,8,3,4,97.0,75.0,80.6928910781916
2024-03-09,Product_1,78,9,3,5,76.0,80.0,77.62413409900851
2024-03-10,Product_1,80,10,3,6,78.0,85.0,79.46931351491843
2024-03-11,Product_1,73,11,3,0,80.0,84.0,79.59109274434786
2024-03-12,Product_1,85,12,3,1,73.0,88.0,83.4169585069495
2024-03-13,Product_1,85,13,3,2,85.0,82.0,81.94593748995075
2024-03-14,Product_1,80,14,3,3,85.0,97.0,86.74771501520779
2024-03-15,Product_1,77,15,3,4,80.0,76.0,78.35161360900108
2024-03-16,Product_1,72,16,3,5,77.0,78.0,77.81279487382074
2024-03-17,Product_1,76,17,3,6,72.0,80.0,76.57424242867201
2024-03-18,Product_1,83,18,3,0,76.0,73.0,76.20387790395148
2024-03-19,Product_1,78,19,3,1,83.0,85.0,81.57339683323652
2024-03-20,Product_1,77,20,3,2,78.0,85.0,79.61095112370404
2024-03-21,Product_1,82,21,3,3,77.0,80.0,78.13157877116228
2024-03-22,Product_1,85,22,3,4,82.0,77.0,79.57717036372152
2024-03-23,Product_1,80,23,3,5,85.0,72.0,77.54777545383239
2024-03-24,Product_1,80,24,3,6,80.0,76.0,78.4251026918369
2024-03-25,Product_1,86,25,3,0,80.0,83.0,80.03536577743611
2024-03-26,Product_1,79,26,3,1,86.0,78.0,79.80742197345769
2024-03-27,Product_1,77,27,3,2,79.0,77.0,78.38760019099848
2024-03-28,Product_1,82,28,3,3,77.0,82.0,79.41563231159022
2024-03-29,Product_1,77,29,3,4,82.0,85.0,81.53451005127668
2024-03-30,Product_1,76,30,3,5,77.0,80.0,78.51283025899427
2024-03-31,Product_1,84,31,3,6,76.0,80.0,78.65036583905213
2024-04-01,Product_1,76,1,4,0,84.0,86.0,81.55735977685002
2024-04-02,Product_1,64,2,4,1,76.0,79.0,77.33292659002979
2024-04-03,Product_1,79,3,4,2,64.0,77.0,74.08734822426887
2024-04-04,Product_1,75,4,4,3,79.0,82.0,79.28310710719107
2024-04-05,Product_1,75,5,4,4,75.0,77.0,76.85971024843802
2024-04-06,Product_1,79,6,4,5,75.0,76.0,76.73804139075446
2024-04-07,Product_1,76,7,4,6,79.0,84.0,79.24929479062287
2024-04-08,Product_1,77,8,4,0,76.0,76.0,76.91264616765854
2024-04-09,Product_1,66,9,4,1,77.0,64.0,71.08281630984057
2024-04-10,Product_1,71,10,4,2,66.0,79.0,74.59920876974465
